ImageFileName    Left_Edge_Longitude    Right_Edge_Longitude   Top_Edge_Latitude      Bottom_Edge_Latitude
gm_3395_1672_12.png:   118.38867187500000   118.47656250000000    31.35363693863322    31.27855085608408
gm_3395_1673_12.png:   118.38867187500000   118.47656250000000    31.27855085608408    31.20340494806032
gm_3395_1674_12.png:   118.38867187500000   118.47656250000000    31.20340494806032    31.12819929626027
gm_3395_1675_12.png:   118.38867187500000   118.47656250000000    31.12819929626027    31.05293398285885
gm_3395_1676_12.png:   118.38867187500000   118.47656250000000    31.05293398285885    30.97760909050778
gm_3396_1656_12.png:   118.47656250000000   118.56445312500000    32.54681317056391    32.47269501911536
gm_3396_1657_12.png:   118.47656250000000   118.56445312500000    32.47269501911536    32.39851579953300
gm_3396_1658_12.png:   118.47656250000000   118.56445312500000    32.39851579953300    32.32427558594066
gm_3396_1659_12.png:   118.47656250000000   118.56445312500000    32.32427558594066    32.24997445293256
gm_3396_1660_12.png:   118.47656250000000   118.56445312500000    32.24997445293256    32.17561247557376
gm_3396_1661_12.png:   118.47656250000000   118.56445312500000    32.17561247557376    32.10118972940055
gm_3396_1662_12.png:   118.47656250000000   118.56445312500000    32.10118972940055    32.02670629042093
gm_3396_1663_12.png:   118.47656250000000   118.56445312500000    32.02670629042093    31.95216223511497
gm_3396_1664_12.png:   118.47656250000000   118.56445312500000    31.95216223511497    31.87755764043525
gm_3396_1665_12.png:   118.47656250000000   118.56445312500000    31.87755764043525    31.80289258380723
gm_3396_1666_12.png:   118.47656250000000   118.56445312500000    31.80289258380723    31.72816714312966
gm_3396_1667_12.png:   118.47656250000000   118.56445312500000    31.72816714312966    31.65338139677498
gm_3396_1668_12.png:   118.47656250000000   118.56445312500000    31.65338139677498    31.57853542358965
gm_3396_1669_12.png:   118.47656250000000   118.56445312500000    31.57853542358965    31.50362930289459
gm_3396_1670_12.png:   118.47656250000000   118.56445312500000    31.50362930289459    31.42866311448550
gm_3396_1671_12.png:   118.47656250000000   118.56445312500000    31.42866311448550    31.35363693863322
gm_3396_1672_12.png:   118.47656250000000   118.56445312500000    31.35363693863322    31.27855085608408
gm_3396_1673_12.png:   118.47656250000000   118.56445312500000    31.27855085608408    31.20340494806032
gm_3396_1674_12.png:   118.47656250000000   118.56445312500000    31.20340494806032    31.12819929626027
gm_3396_1675_12.png:   118.47656250000000   118.56445312500000    31.12819929626027    31.05293398285885
gm_3396_1676_12.png:   118.47656250000000   118.56445312500000    31.05293398285885    30.97760909050778
